Date,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-22,1.5,87.0,57.5,72.5,45.0,58.0,0.0,29.375,30.055,10.05,17.0,10.4
2007-05-23,1.5,89.0,63.0,76.5,48.5,61.0,0.0,29.43,30.1,11.15,18.5,11.5
2007-05-24,1.5,88.0,64.5,76.5,53.5,63.0,0.02,29.44,30.105,14.35,20.5,16.25
2007-05-25,1.5,68.0,56.5,62.5,45.0,53.0,0.09,29.54,30.235,4.7,5.0,8.5
2007-05-26,1.5,67.5,49.5,58.5,55.0,56.5,0.645,29.39,30.105,2.65,16.0,7.5
2007-05-27,1.5,75.0,58.0,66.5,48.0,56.5,0.06,29.375,30.055,8.55,25.0,9.35
2007-05-28,1.5,77.5,52.0,65.0,48.0,56.5,0.0,29.46,30.145,4.75,9.0,5.25
2007-05-29,1.5,88.0,62.5,75.5,58.5,65.5,0.0,29.415,30.1,5.8,17.0,6.95
2007-05-30,1.5,88.0,68.0,78.5,57.5,65.5,0.0,29.345,30.035,10.0,18.0,10.35
2007-05-31,1.5,79.0,66.5,73.0,61.0,65.5,0.27,29.31,29.995,9.1,18.5,9.55
2007-06-01,1.5,85.5,64.5,75.5,63.0,66.5,0.2,29.22,29.905,4.45,16.5,6.1
2007-06-02,1.5,81.0,66.5,74.0,62.5,67.0,0.04,29.065,29.765,7.0,21.5,7.8
2007-06-03,1.5,77.5,63.0,70.5,60.0,63.5,0.165,28.845,29.55,5.05,24.5,6.95
2007-06-04,1.5,71.5,57.0,64.5,57.5,60.0,0.35,28.85,29.515,7.85,30.5,9.9
2007-06-05,1.5,63.5,49.0,56.5,47.5,51.5,0.345,29.13,29.785,5.7,4.0,7.85
2007-06-06,1.5,72.0,46.0,59.5,47.5,55.0,0.01,29.1,29.815,10.2,16.0,11.0
2007-06-07,1.5,91.5,71.0,81.5,61.5,68.5,0.0,28.875,29.55,21.5,19.5,21.9
2007-06-08,1.5,81.0,60.0,70.5,53.5,61.5,0.0,29.21,29.84,10.1,27.0,13.1
2007-06-09,1.5,79.0,54.5,67.0,48.0,57.5,0.0,29.39,30.06,1.35,26.0,4.85
2007-06-10,1.5,81.0,58.0,69.5,50.5,59.5,0.0,29.365,30.045,4.7,16.5,5.7
2007-06-11,1.5,85.5,61.5,73.5,51.5,61.0,0.0,29.44,30.1,5.75,10.0,7.65
2007-06-12,1.5,82.5,64.0,73.5,50.5,60.5,0.0,29.465,30.15,8.85,5.0,9.4
2007-06-13,1.5,86.5,64.0,75.5,53.0,62.0,0.0,29.36,30.09,7.1,5.0,8.6
2007-06-14,1.5,89.0,66.0,78.0,54.5,63.5,0.0,29.33,30.01,5.75,6.0,6.6
2007-06-15,1.5,90.0,65.0,77.5,56.0,64.5,0.0,29.31,29.98,3.95,7.5,4.5
2007-06-16,1.5,92.5,67.0,80.0,60.5,67.5,,29.295,29.965,3.45,25.0,5.95
2007-06-17,1.5,91.0,70.5,81.0,64.5,70.0,0.08,29.255,29.94,3.4,11.0,6.2
2007-06-18,1.5,89.0,71.0,80.0,65.0,70.0,0.15,29.155,29.835,13.1,20.0,13.85
2007-06-19,1.5,80.5,65.0,73.0,55.0,63.0,0.755,29.285,29.94,10.4,28.5,11.35
2007-06-20,1.5,84.5,61.5,73.5,51.0,61.0,0.0,29.425,30.095,6.85,27.5,8.25
2007-06-21,1.5,78.5,63.5,71.0,51.0,60.5,0.01,29.385,30.07,3.6,2.5,10.15
2007-06-22,1.5,75.5,61.5,69.0,49.5,58.0,,29.36,30.055,7.15,6.5,8.4
2007-06-23,1.5,67.5,61.5,65.0,59.0,61.5,0.195,29.255,29.955,7.45,11.5,8.55
2007-06-24,1.5,76.0,64.0,70.0,62.0,65.0,0.0,29.295,29.965,6.3,9.5,7.0
2007-06-25,1.5,87.5,66.0,77.0,66.5,70.0,0.0,29.41,30.065,3.95,13.0,6.35
2007-06-26,1.5,91.5,71.5,81.5,69.0,72.0,0.16,29.42,30.1,6.7,21.5,7.6
2007-06-27,1.5,90.0,71.0,80.5,69.5,72.0,0.25,29.325,30.01,7.7,24.0,8.65
2007-06-28,1.5,73.5,59.5,66.5,55.5,60.5,0.0,29.42,30.08,12.05,2.5,12.9
2007-06-29,1.5,70.5,56.0,63.5,55.5,59.5,0.0,29.44,30.12,7.5,2.0,8.25
2007-06-30,1.5,78.0,56.0,67.5,47.5,57.0,0.0,29.435,30.12,5.0,3.5,6.0
2007-07-01,1.5,75.5,57.5,67.0,51.5,58.5,0.0,29.535,30.22,9.05,4.0,9.15
2007-07-02,1.5,78.0,55.5,67.0,50.0,58.5,0.0,29.52,30.215,6.65,13.0,8.3
2007-07-03,1.5,83.0,61.5,72.5,56.5,63.0,0.245,29.345,30.055,6.55,21.0,7.35
2007-07-04,1.5,85.0,67.0,76.5,65.0,69.0,0.41,29.205,29.89,3.85,26.0,8.5
2007-07-05,1.5,88.5,70.5,79.5,60.0,67.0,0.0,29.265,29.93,5.35,32.0,7.5
2007-07-06,1.5,85.0,67.0,76.0,57.0,64.5,0.0,29.35,30.02,3.25,6.0,5.5
2007-07-07,1.5,89.0,66.0,77.5,62.5,68.5,0.0,29.21,29.905,7.9,22.5,8.35
2007-07-08,1.5,93.5,75.0,84.5,67.0,72.0,0.0,29.085,29.765,12.75,23.5,12.9
2007-07-09,1.5,93.5,71.0,82.5,66.5,70.5,0.27,29.135,29.795,4.85,23.5,8.8
2007-07-10,1.5,89.0,69.5,79.5,67.0,70.5,0.255,29.095,29.765,8.4,23.0,10.35
2007-07-11,1.5,77.0,62.5,70.0,51.0,59.0,0.0,29.255,29.925,8.95,30.0,11.05
2007-07-12,1.5,80.0,60.5,70.5,51.0,59.5,0.0,29.25,29.925,9.7,28.5,11.25
2007-07-13,1.5,76.0,58.5,67.5,52.5,58.5,0.0,29.295,29.98,1.7,4.0,5.55
2007-07-14,1.5,84.5,61.5,73.5,55.0,62.0,0.0,29.11,29.79,8.35,25.5,13.55
2007-07-15,1.5,81.0,62.0,71.5,52.5,61.0,0.0,29.22,29.885,1.65,19.0,5.7
2007-07-16,1.5,82.0,65.5,74.0,60.0,65.0,0.23,29.28,29.95,5.0,23.5,5.9
2007-07-17,1.5,83.0,68.5,76.0,65.5,69.0,0.11,29.21,29.895,5.75,23.0,6.95
2007-07-18,1.5,85.0,69.0,77.0,68.5,71.0,1.235,29.145,29.835,9.7,24.0,10.35
2007-07-19,1.5,82.5,63.0,73.0,62.5,66.0,0.085,29.235,29.89,7.35,18.5,13.15
2007-07-20,1.5,74.5,60.0,67.5,52.5,59.0,0.0,29.465,30.13,9.95,3.5,10.3
2007-07-21,1.5,74.5,58.0,66.5,52.0,58.5,0.0,29.54,30.215,6.15,3.5,7.4
2007-07-22,1.5,81.0,59.5,70.5,54.5,61.0,0.0,29.515,30.205,1.8,17.0,3.4
2007-07-23,1.5,82.5,61.5,72.5,55.0,63.0,0.0,29.395,30.095,3.05,10.5,3.95
2007-07-24,1.5,82.0,65.0,74.0,57.5,64.0,0.0,29.35,30.035,2.1,20.5,5.05
2007-07-25,1.5,84.0,70.5,77.5,60.5,66.5,0.0,29.32,29.995,6.1,24.0,6.8
2007-07-26,1.5,83.5,65.0,74.5,65.0,68.0,0.54,29.22,29.915,7.2,22.0,9.65
2007-07-27,1.5,83.0,70.0,77.0,67.5,70.0,0.105,29.135,29.81,2.1,19.5,8.0
2007-07-28,1.5,80.0,68.0,74.0,65.0,68.0,0.0,29.255,29.92,10.3,3.0,10.45
2007-07-29,1.5,85.0,65.0,75.0,56.5,64.0,0.0,29.31,29.98,5.55,5.0,6.3
2007-07-30,1.5,87.5,63.5,76.0,56.0,64.5,0.0,29.36,30.02,3.45,6.0,4.45
2007-07-31,1.5,90.0,68.5,79.5,60.5,68.0,0.0,29.36,30.03,3.65,5.5,4.95
2007-08-01,1.5,91.5,69.0,80.5,62.5,69.5,0.0,29.315,29.99,2.8,11.0,3.9
2007-08-02,1.5,91.0,71.5,81.5,66.0,71.5,0.0,29.285,29.96,6.0,24.5,6.55
2007-08-03,1.5,89.0,71.0,80.5,57.0,66.5,0.0,29.335,30.01,3.0,4.5,5.75
2007-08-04,1.5,81.0,66.0,74.0,58.0,64.5,0.025,29.335,30.02,5.8,8.5,6.35
2007-08-05,1.5,88.0,67.5,78.0,71.0,72.5,1.2,29.115,29.8,6.2,21.5,9.9
2007-08-06,1.5,86.5,74.5,80.5,72.0,74.0,0.155,29.15,29.82,2.1,10.0,4.75
2007-08-07,1.5,91.5,72.5,82.5,73.0,76.0,0.685,29.085,29.75,6.25,24.5,8.9
2007-08-08,1.5,87.0,73.5,80.5,71.5,73.5,0.075,29.155,29.82,2.25,3.5,6.65
2007-08-09,1.5,84.5,72.5,78.5,71.0,73.0,0.255,29.16,29.83,2.8,28.0,6.15
2007-08-10,1.5,86.0,71.5,79.0,68.5,72.0,0.0,29.29,29.95,3.75,4.0,5.65
2007-08-11,1.5,88.5,67.5,78.0,65.0,70.0,0.0,29.345,30.01,3.15,19.5,3.9
2007-08-12,1.5,87.5,67.5,78.0,67.0,70.5,0.26,29.37,30.05,1.8,6.0,6.0
2007-08-13,1.5,80.5,67.0,74.0,55.5,63.5,0.0,29.415,30.095,6.55,7.0,7.3
2007-08-14,1.5,84.0,65.0,75.0,66.5,69.5,0.43,29.26,29.925,6.15,24.0,8.5
2007-08-15,1.5,80.5,71.5,76.5,68.0,70.5,0.53,29.2,29.88,4.15,6.5,6.45
2007-08-16,1.5,77.0,66.0,71.5,64.5,67.5,0.0,29.305,29.96,3.55,1.0,5.7
2007-08-17,1.5,79.5,62.5,71.5,54.0,61.5,0.0,29.435,30.09,6.0,31.5,7.1
2007-08-18,1.5,68.5,59.5,64.5,54.0,58.0,0.255,29.46,30.155,6.25,12.5,7.55
2007-08-19,1.5,68.5,62.0,65.5,62.5,64.0,1.33,29.27,29.985,5.75,10.0,7.45
2007-08-20,1.5,77.0,68.0,72.5,68.5,69.5,0.695,29.18,29.86,1.45,16.0,5.8
2007-08-21,1.5,86.0,69.0,77.5,70.0,72.0,0.01,29.235,29.9,3.65,17.5,6.0
2007-08-22,1.5,90.0,69.5,80.0,70.5,73.0,0.625,29.26,29.935,5.2,21.0,8.95
2007-08-23,1.5,88.0,69.5,79.0,69.0,71.0,2.155,29.18,29.865,8.15,21.0,10.4
2007-08-24,1.5,80.5,69.0,75.0,67.0,69.0,0.22,29.135,29.815,5.65,25.0,7.2
2007-08-25,1.5,77.5,64.5,71.5,63.0,66.0,0.295,29.26,29.92,2.7,19.5,6.0
2007-08-26,1.5,78.5,60.5,70.0,55.0,61.5,0.0,29.41,30.075,3.65,11.0,5.0
2007-08-27,1.5,79.0,61.5,70.5,59.5,64.0,0.0,29.385,30.065,6.45,16.5,7.35
2007-08-28,1.5,90.5,68.0,79.5,65.5,70.0,0.0,29.31,29.985,8.4,20.5,8.9
2007-08-29,1.5,85.5,68.5,77.5,64.5,69.0,,29.365,30.03,5.45,3.0,8.5
2007-08-30,1.5,75.0,58.5,67.0,54.0,60.5,0.0,29.49,30.165,9.95,2.5,10.4
2007-08-31,1.5,76.5,57.0,67.0,53.0,59.5,0.0,29.495,30.18,3.45,5.0,4.9
2007-09-01,1.5,80.0,58.5,69.5,55.5,61.5,0.0,29.515,30.21,4.3,11.0,4.7
2007-09-02,1.5,84.5,61.5,73.0,56.5,63.0,0.0,29.44,30.14,4.5,21.0,5.5
2007-09-03,1.5,88.0,65.0,76.5,61.0,67.0,0.0,29.39,30.08,2.5,26.0,6.0
2007-09-04,1.5,89.5,65.0,77.5,59.5,66.5,0.0,29.31,29.995,2.5,23.0,4.65
2007-09-05,1.5,90.5,69.0,80.0,62.5,69.0,0.0,29.275,29.95,6.4,19.0,6.6
2007-09-06,1.5,83.0,73.5,78.5,66.5,70.0,0.13,29.24,29.915,12.35,20.0,12.55
2007-09-07,1.5,84.0,70.5,77.5,67.5,70.0,0.43,29.18,29.845,9.95,23.0,13.45
2007-09-08,1.5,78.0,66.0,72.0,57.5,63.5,0.0,29.32,29.99,7.2,5.0,8.3
2007-09-09,1.5,79.5,63.0,71.5,59.0,63.5,0.0,29.385,30.045,9.65,3.0,10.4
2007-09-10,1.5,73.5,54.5,64.0,58.5,61.0,0.305,29.32,30.025,7.3,2.5,9.35
2007-09-11,1.5,71.0,50.5,61.0,44.0,52.0,,29.23,29.915,11.9,29.0,13.6
2007-09-12,1.5,66.5,46.0,56.5,42.5,49.5,0.0,29.43,30.115,1.85,4.0,5.8
2007-09-13,1.5,78.5,51.5,65.0,44.0,54.0,0.0,29.265,29.985,7.7,19.5,8.1
2007-09-14,1.5,66.5,46.0,56.5,39.5,48.5,0.0,29.385,30.045,11.9,32.0,13.2
2007-09-15,1.5,61.5,40.5,51.0,34.0,44.0,0.0,29.59,30.28,1.25,34.0,6.25
2007-09-16,1.5,71.5,46.5,59.5,39.0,49.5,0.0,29.49,30.195,7.25,18.0,7.8
2007-09-17,1.5,80.0,53.5,67.0,48.5,57.0,0.0,29.425,30.12,11.15,17.0,11.55
2007-09-18,1.5,88.5,64.5,77.0,57.5,65.0,0.0,29.375,30.055,12.7,19.0,12.95
2007-09-19,1.5,84.0,66.5,75.5,59.0,65.0,0.0,29.44,30.1,4.25,25.5,9.35
2007-09-20,1.5,77.0,61.5,69.5,59.0,63.5,0.0,29.415,30.11,5.45,7.5,6.35
2007-09-21,1.5,89.0,66.0,77.5,59.0,66.0,0.0,29.205,29.895,10.05,21.5,11.95
2007-09-22,1.5,73.0,54.5,64.0,44.0,54.0,0.0,29.45,30.11,3.45,2.0,7.25
2007-09-23,1.5,83.5,52.5,68.0,50.0,58.5,0.0,29.46,30.155,5.25,12.5,5.85
2007-09-24,1.5,90.5,69.5,80.0,62.5,68.5,0.0,29.305,29.985,10.7,19.0,11.2
2007-09-25,1.5,84.0,65.0,74.5,65.5,69.0,0.14,29.26,29.94,7.6,23.0,9.95
2007-09-26,1.5,68.5,54.0,61.5,50.5,55.5,0.115,29.34,30.025,4.55,1.5,6.95
2007-09-27,1.5,74.5,50.5,62.5,49.0,55.0,,29.285,29.97,4.7,24.5,6.15
2007-09-28,1.5,73.0,53.0,63.0,46.0,53.5,0.0,29.495,30.165,2.7,5.5,6.85
2007-09-29,1.5,81.0,51.0,66.0,45.5,55.0,0.0,29.535,30.23,8.95,17.0,9.3
2007-09-30,1.5,83.5,60.0,72.0,48.5,59.0,0.14,29.4,30.1,13.65,19.0,13.9
2007-10-01,1.5,68.5,59.0,64.0,59.0,61.0,0.23,29.315,30.0,7.0,21.5,8.5
2007-10-02,1.5,79.0,58.0,69.0,59.0,63.0,0.1,29.215,29.92,10.4,19.0,10.7
2007-10-03,1.5,74.0,55.5,65.0,47.5,56.0,0.0,29.31,29.975,5.35,25.5,7.1
2007-10-04,1.5,82.5,53.5,68.5,56.0,61.5,0.0,29.365,30.035,4.25,17.0,5.25
2007-10-05,1.5,84.5,65.0,75.0,65.0,68.5,0.03,29.39,30.07,6.9,17.5,7.0
2007-10-06,1.5,87.5,70.0,79.0,66.5,70.5,0.0,29.36,30.035,6.65,20.5,7.05
2007-10-07,1.5,87.5,68.5,78.0,65.5,70.0,0.0,29.345,30.02,5.25,19.0,5.9
2007-10-08,1.5,87.5,61.0,74.5,60.5,66.0,0.0,29.255,29.925,7.5,24.0,10.0
2007-10-09,1.5,76.5,49.5,63.5,44.0,53.0,0.0,29.24,29.935,11.8,28.0,13.05
2007-10-10,1.5,53.5,47.0,50.5,37.5,44.0,,29.235,29.93,14.75,31.0,15.05
2007-10-11,1.5,55.0,47.0,51.0,39.0,45.0,0.0,29.31,30.005,13.25,36.0,14.2
2007-10-12,1.5,56.5,43.0,50.0,35.0,43.0,0.0,29.31,30.02,3.1,35.5,5.0
2007-10-13,1.5,59.0,42.0,51.0,40.5,47.0,0.0,29.345,30.04,3.15,20.5,4.1
2007-10-14,1.5,62.0,54.0,58.0,48.0,52.5,0.08,29.37,30.06,5.65,11.5,6.3
2007-10-15,1.5,75.5,53.0,64.5,51.0,57.0,0.055,29.235,29.945,5.35,15.0,6.25
2007-10-16,1.5,67.5,54.0,61.0,54.5,57.5,0.215,29.195,29.88,6.45,21.0,7.4
2007-10-17,1.5,73.0,48.5,61.0,53.0,57.0,0.075,29.1,29.83,8.95,14.0,9.45
2007-10-18,1.5,78.5,59.5,69.5,56.5,61.5,0.32,28.63,29.34,16.35,19.0,18.05
2007-10-19,1.5,60.5,52.5,56.5,48.0,52.0,0.01,28.785,29.445,16.95,24.0,17.35
2007-10-20,1.5,73.5,47.0,60.5,43.0,52.0,0.0,29.06,29.715,11.0,21.0,11.85
2007-10-21,1.5,79.5,60.5,70.0,46.5,56.5,0.0,29.115,29.78,17.35,20.0,17.5
2007-10-22,1.5,66.5,46.5,57.0,47.0,50.5,0.155,29.29,29.965,5.5,18.5,9.75
2007-10-23,1.5,55.5,44.5,50.5,37.5,44.5,0.015,29.23,29.93,4.6,31.0,8.05
2007-10-24,1.5,54.0,44.0,49.0,35.0,42.5,0.0,29.485,30.16,14.65,2.0,15.9
2007-10-25,1.5,56.0,45.0,50.5,39.5,46.0,,29.495,30.2,14.2,6.0,14.4
2007-10-26,1.5,65.5,53.0,59.5,48.5,52.0,0.37,29.345,30.065,5.2,5.5,7.05
2007-10-27,1.5,56.0,38.0,47.0,39.5,45.5,0.045,29.59,30.25,8.65,31.5,9.5
2007-10-28,1.5,56.0,34.0,45.0,30.0,39.0,0.0,29.825,30.525,3.45,23.0,4.15
2007-10-29,1.5,60.5,39.0,50.0,32.0,42.0,0.0,29.665,30.405,9.65,22.0,9.85
2007-10-30,1.5,66.0,41.5,54.0,37.5,46.0,0.0,29.47,30.21,11.5,20.0,11.7
2007-10-31,1.5,62.5,42.0,52.5,37.5,46.0,0.0,29.33,30.025,12.2,25.0,14.65
2008-05-01,1.5,73.5,48.0,61.0,51.0,56.5,0.0,28.98,29.67,10.2,16.5,10.95
2008-05-02,1.5,74.0,53.0,64.0,55.5,59.0,1.01,28.82,29.525,12.85,19.5,14.05
2008-05-03,1.5,56.0,43.5,50.0,41.5,46.0,0.01,29.045,29.69,10.8,25.0,12.7
2008-05-04,1.5,65.5,38.5,52.5,33.5,45.0,0.0,29.345,30.02,5.35,23.5,5.95
2008-05-05,1.5,74.5,50.0,62.5,38.0,50.0,0.0,29.305,29.99,4.05,24.5,6.6
2008-05-06,1.5,81.5,49.0,65.5,43.5,55.0,0.0,29.195,29.88,6.6,22.0,7.95
2008-05-07,1.5,70.5,49.5,60.5,52.5,56.0,0.735,29.0,29.69,2.7,22.5,11.7
2008-05-08,1.5,59.0,46.0,52.5,35.5,44.5,0.0,29.11,29.815,13.25,5.0,13.8
2008-05-09,1.5,58.0,41.5,50.0,34.5,43.5,0.0,29.175,29.85,6.4,3.0,6.95
2008-05-10,1.5,61.0,39.5,50.5,38.0,45.5,0.0,29.115,29.845,5.95,7.5,6.45
2008-05-11,1.5,59.0,46.5,53.0,43.5,47.5,1.205,28.87,29.54,14.4,2.0,17.75
2008-05-12,1.5,54.5,40.5,47.5,38.5,43.0,0.0,29.29,29.96,5.0,6.5,7.7
2008-05-13,1.5,73.0,42.5,58.0,45.0,51.5,0.2,29.24,29.94,14.6,18.0,15.15
2008-05-14,1.5,62.5,45.5,54.5,48.5,52.0,0.02,29.22,29.89,2.25,23.0,9.25
2008-05-15,1.5,57.0,43.0,50.0,37.0,45.0,0.0,29.355,30.05,7.15,5.0,8.0
2008-05-16,1.5,72.5,40.5,57.0,41.0,50.0,0.0,29.13,29.86,8.6,25.0,9.1
2008-05-17,1.5,73.0,51.0,62.5,41.0,52.0,0.19,28.905,29.61,12.05,29.5,14.4
2008-05-18,1.5,55.0,44.5,50.0,39.5,45.5,0.0,28.955,29.635,2.55,34.5,8.05
2008-05-19,1.5,59.5,41.0,50.5,33.5,43.5,,28.99,29.69,4.15,7.0,5.95
2008-05-20,1.5,65.0,48.0,57.0,37.0,47.0,0.0,28.97,29.66,7.1,30.5,8.45
2008-05-21,1.5,65.5,43.0,54.5,36.0,46.0,0.0,29.025,29.7,7.0,32.5,9.0
2008-05-22,1.5,57.5,46.0,52.0,38.0,45.0,0.0,29.265,29.935,9.65,5.0,10.5
2008-05-23,1.5,58.0,47.0,53.0,39.5,45.5,0.0,29.44,30.115,10.55,3.0,10.8
2008-05-24,1.5,67.5,42.0,55.0,39.0,48.0,0.0,29.475,30.175,7.15,7.0,7.9
2008-05-25,1.5,78.0,47.5,63.0,49.0,57.0,0.0,29.22,29.93,10.7,17.5,12.15
2008-05-26,1.5,82.5,50.0,66.5,60.0,64.5,0.24,29.14,29.805,6.75,24.5,11.9
2008-05-27,1.5,51.5,43.5,47.5,35.5,42.5,0.0,29.52,30.185,18.6,2.5,18.35
2008-05-28,1.5,61.5,44.0,53.0,33.5,43.5,0.0,29.63,30.335,8.0,6.5,8.6
2008-05-29,1.5,67.5,43.5,56.0,37.5,47.5,0.045,29.425,30.165,2.85,10.5,4.0
2008-05-30,1.5,77.0,56.5,67.0,59.5,62.5,0.35,29.06,29.79,8.9,20.5,10.55
2008-05-31,1.5,79.0,59.5,69.5,56.0,62.0,0.0,29.125,29.795,10.95,28.0,12.1
2008-06-01,1.5,72.5,54.5,64.0,46.5,55.0,0.0,29.26,29.945,5.1,9.0,5.65
2008-06-02,1.5,85.5,58.5,72.0,52.5,60.5,0.0,29.185,29.88,1.8,10.5,5.25
2008-06-03,1.5,71.5,56.0,64.0,56.5,58.5,0.72,28.995,29.68,6.25,3.5,7.95
2008-06-04,1.5,78.0,56.5,67.5,60.0,62.5,0.02,28.925,29.61,3.8,4.5,4.75
2008-06-05,1.5,87.5,64.0,76.0,68.5,71.5,0.43,29.03,29.695,12.35,20.0,13.9
2008-06-06,1.5,86.5,73.0,80.0,68.5,72.0,0.03,29.105,29.755,20.15,20.0,20.5
2008-06-07,1.5,84.5,70.5,77.5,71.0,73.0,0.09,29.195,29.855,12.15,19.0,12.8
2008-06-08,1.5,86.0,64.5,75.5,68.5,70.5,1.275,29.145,29.805,5.35,18.5,11.85
2008-06-09,1.5,74.0,65.0,70.0,64.0,66.0,0.175,29.135,29.81,6.4,22.5,8.25
2008-06-10,1.5,79.5,59.5,69.5,56.0,62.0,0.01,29.215,29.885,9.05,25.0,10.0
2008-06-11,1.5,86.0,63.5,75.0,55.5,64.0,0.0,29.31,29.98,9.15,18.0,10.2
2008-06-12,1.5,91.0,73.0,82.0,63.0,69.5,0.0,29.23,29.895,15.45,18.0,15.7
2008-06-13,1.5,82.0,65.5,74.0,62.5,66.0,0.29,29.245,29.915,9.25,22.5,10.35
2008-06-14,1.5,84.0,60.0,72.5,52.5,61.5,0.0,29.26,29.93,8.5,24.0,9.05
2008-06-15,1.5,81.5,60.5,71.0,60.0,64.0,0.235,29.19,29.835,8.25,24.0,9.75
2008-06-16,1.5,73.0,59.5,66.5,49.0,57.0,0.0,29.225,29.9,10.75,31.0,11.35
2008-06-17,1.5,76.0,55.5,66.0,46.0,55.0,0.0,29.29,29.965,10.45,30.0,11.0
2008-06-18,1.5,76.0,57.0,67.0,48.5,56.0,0.0,29.235,29.915,4.9,4.0,7.4
2008-06-19,1.5,80.5,53.5,67.5,46.5,56.5,0.0,29.24,29.925,1.65,19.5,5.25
2008-06-20,1.5,82.5,59.0,71.0,52.5,59.5,0.065,29.275,29.955,6.6,22.5,7.55
2008-06-21,1.5,82.5,61.5,72.5,52.5,61.0,0.01,29.265,29.94,6.35,29.0,7.35
2008-06-22,1.5,81.5,59.0,70.5,52.5,59.5,0.09,29.205,29.88,2.2,32.5,4.75
2008-06-23,1.5,76.5,56.5,67.0,54.0,59.0,0.0,29.355,30.035,3.85,3.5,6.4
2008-06-24,1.5,82.0,56.0,69.5,52.5,60.0,0.0,29.465,30.14,4.7,18.0,5.6
2008-06-25,1.5,79.0,66.5,73.0,64.5,67.5,0.095,29.31,29.985,7.75,21.5,8.9
2008-06-26,1.5,86.5,70.5,78.5,66.5,70.5,0.0,29.18,29.85,6.55,25.5,7.55
2008-06-27,1.5,84.5,67.5,76.0,67.0,70.0,,29.08,29.75,7.5,21.5,8.25
2008-06-28,1.5,83.5,65.0,74.5,55.0,63.0,0.04,29.015,29.685,12.7,25.5,13.85
2008-06-29,1.5,76.0,60.5,68.5,58.0,61.0,0.4,29.105,29.76,7.6,30.5,9.9
2008-06-30,1.5,80.5,59.0,70.0,49.5,58.0,0.0,29.31,29.97,5.75,34.5,9.35
2008-07-01,1.5,83.5,57.5,71.0,50.5,60.0,0.0,29.27,29.96,8.15,23.5,8.15
2008-07-02,1.5,88.0,63.0,75.5,62.0,66.5,0.16,29.115,29.785,8.05,23.5,12.45
2008-07-03,1.5,71.0,57.0,64.0,51.0,57.0,,29.365,30.025,12.45,3.0,12.75
2008-07-04,1.5,75.5,55.0,65.5,50.0,57.5,0.0,29.375,30.055,6.25,5.5,7.05
2008-07-05,1.5,79.5,55.5,67.5,52.0,59.5,0.0,29.335,30.02,4.65,8.5,6.35
2008-07-06,1.5,87.5,61.0,74.5,57.5,65.0,0.0,29.245,29.93,8.8,19.0,9.15
2008-07-07,1.5,87.0,72.5,80.0,67.5,71.0,0.07,29.185,29.865,10.85,21.5,11.65
